"","species_common","species_scientific","family","X"
"177","Cigar wr",NA,NA,NA
"178","Clown anemone",NA,NA,NA
"179","Coral grouper",NA,NA,NA
"180","Crescent wrasse",NA,NA,NA
"181","Doublebar damsel",NA,NA,NA
"182","Doublesaddle butt",NA,NA,NA
"183","Elongate surgeon",NA,NA,NA
"184","Fingerprint toby",NA,NA,NA
"185","Fiveline card",NA,NA,NA
"186","Flagtail grp",NA,NA,NA
"187","Freckled hawk",NA,NA,NA
"188","Goldband fusil",NA,NA,NA
"189","Golden dams",NA,NA,NA
"190","Grass parrot",NA,NA,NA
"191","Grey chromis",NA,NA,NA
"192","Halfhalf wr",NA,NA,NA
"193","Harlequin sweetlip",NA,NA,NA
"194","Highfin blenny",NA,NA,NA
"195","Humbug",NA,NA,NA
"196","Keyhole angel",NA,NA,NA
"197","Kleins butt",NA,NA,NA
"198","Lattice butt",NA,NA,NA
"199","Lined br",NA,NA,NA
"200","lined wr",NA,NA,NA
"201","Longnose b",NA,NA,NA
"202","Lunar fusil",NA,NA,NA
"203","Lyretail anthias",NA,NA,NA
"204","Mesothorax hog",NA,NA,NA
"205","Neon damsel",NA,NA,NA
"206","Ochre-sstriped card",NA,NA,NA
"207","Orangesocket surg",NA,NA,NA
"208","Ornate butt",NA,NA,NA
"209","OS unicorn",NA,NA,NA
"210","OST",NA,NA,NA
"211","Paletail dam",NA,NA,NA
"212","Peacock grp",NA,NA,NA
"213","Pinkblue wrasse",NA,NA,NA
"214","Pinstripe wr",NA,NA,NA
"215","Pyramid butt",NA,NA,NA
"216","Raccoon butt",NA,NA,NA
"217","Redbanded wr",NA,NA,NA
"218","Red-cheeked anthias",NA,NA,NA
"219","Redfin butt",NA,NA,NA
"220","Reticulated dasc",NA,NA,NA
"221","Ringtail surgeon",NA,NA,NA
"222","Royal dotty",NA,NA,NA
"223","Ruddy fus",NA,NA,NA
"224","Schlegels parr",NA,NA,NA
"225","Scissortail sergent",NA,NA,NA
"226","Scorpionfish",NA,NA,NA
"227","Silver parrot",NA,NA,NA
"228","Sixbar wr",NA,NA,NA
"229","Six-barred angel",NA,NA,NA
"230","Slingjaw",NA,NA,NA
"231","Smalltooth job",NA,NA,NA
"232","Splendid dotty",NA,NA,NA
"233","Spotbanded butt",NA,NA,NA
"234","Springers demoiselle",NA,NA,NA
"235","Squirrel",NA,NA,NA
"236","Staghorn dams",NA,NA,NA
"237","Strawberry grp",NA,NA,NA
"238","Talbots demoiselle",NA,NA,NA
"239","Ternate chrom",NA,NA,NA
"240","Threeline fusil",NA,NA,NA
"241","Threespot dasc",NA,NA,NA
"242","Tripletail wr",NA,NA,NA
"243","Tubelip wr",NA,NA,NA
"244","Turquoisecap parrot",NA,NA,NA
"245","Twobar goat",NA,NA,NA
"246","Twospot snap",NA,NA,NA
"247","Twotone dart",NA,NA,NA
"248","Twotonewr",NA,NA,NA
"249","Vagabond butt",NA,NA,NA
"250","Verm butt",NA,NA,NA
"251","Vlaming",NA,NA,NA
"252","Wandering clean",NA,NA,NA
"253","Webers chromis",NA,NA,NA
"254","Wedgetail wr",NA,NA,NA
"255","Whitebelly dam",NA,NA,NA
"256","Whitelip parr",NA,NA,NA
"257","Whitespot rabbit",NA,NA,NA
"258","Yellow chrom",NA,NA,NA
"259","Yellowband fus",NA,NA,NA
"260","Yellowcheek tusk",NA,NA,NA
"261","Yellownose fusil",NA,NA,NA
"262","Yellowspot emp",NA,NA,NA
"263","Yellowtail fang",NA,NA,NA
"264","Day",NA,NA,NA
"265","Time",NA,NA,NA
"266","Depth",NA,NA,NA
"267","Depthcat",NA,NA,NA
